course_id,course_code,course_name,department_id,course_type,course_category,credits,weekly_hours,sessions_per_week,session_duration,requires_lab,required_room_type,min_room_capacity,equipment_required
C021,ECE201,Electronic Devices,D02,THEORY,CORE,4,4,4,1,False,CLASSROOM,50,
C022,ECE202,Signals and Systems,D02,THEORY,CORE,4,4,4,1,False,CLASSROOM,50,
C023,ECE203,Digital Electronics,D02,THEORY,CORE,3,3,3,1,False,CLASSROOM,50,
C024,ECE204,Digital Electronics Lab,D02,LAB,CORE,1,2,1,2,True,ELECTRONICS_LAB,30,ELECTRONICS
C025,ECE301,Microprocessors,D02,THEORY,CORE,4,4,4,1,False,CLASSROOM,50,
C026,ECE302,Communication Systems,D02,THEORY,CORE,4,4,4,1,False,CLASSROOM,50,
C027,ECE303,Embedded Systems,D02,THEORY,CORE,3,3,3,1,False,CLASSROOM,50,
C028,ECE304,Embedded Lab,D02,LAB,CORE,1,2,1,2,True,ELECTRONICS_LAB,30,MICROCONTROLLERS
C029,ECE401,VLSI Design,D02,THEORY,CORE,3,3,3,1,False,CLASSROOM,50,
C030,ECE402,Wireless Communication,D02,THEORY,CORE,3,3,3,1,False,CLASSROOM,50,
C031,ECE403,RF Engineering,D02,THEORY,CORE,3,3,3,1,False,CLASSROOM,50,
C032,AI201,Data Structures for AI,D03,THEORY,CORE,4,4,4,1,False,CLASSROOM,45,
C033,AI202,Probability and Statistics,D03,THEORY,CORE,4,4,4,1,False,CLASSROOM,45,
C034,AI203,Data Management,D03,THEORY,CORE,3,3,3,1,False,CLASSROOM,45,
C035,AI204,Python Programming Lab,D03,LAB,CORE,1,2,1,2,True,COMPUTER_LAB,30,COMPUTERS
C036,AI301,Machine Learning,D03,THEORY,CORE,4,4,4,1,False,CLASSROOM,45,
C037,AI302,Artificial Intelligence,D03,THEORY,CORE,4,4,4,1,False,CLASSROOM,45,
C038,AI303,Data Mining,D03,THEORY,CORE,3,3,3,1,False,CLASSROOM,45,
C039,AI304,ML Lab,D03,LAB,CORE,1,2,1,2,True,COMPUTER_LAB,30,GPUS
C040,AI401,Deep Learning,D03,THEORY,CORE,3,3,3,1,False,CLASSROOM,45,
C041,AI402,Natural Language Processing,D03,THEORY,CORE,3,3,3,1,False,CLASSROOM,45,
C042,AI403,Big Data Analytics,D03,THEORY,CORE,3,3,3,1,False,CLASSROOM,45,
C043,AR201,Engineering Mechanics,D04,THEORY,CORE,4,4,4,1,False,CLASSROOM,45,
C044,AR202,Control Systems,D04,THEORY,CORE,4,4,4,1,False,CLASSROOM,45,
C045,AR203,Sensors and Instrumentation,D04,THEORY,CORE,3,3,3,1,False,CLASSROOM,45,
C046,AR204,Robotics Lab I,D04,LAB,CORE,1,2,1,2,True,ROBOTICS_LAB,25,ROBOTICS
C047,AR301,Robotics,D04,THEORY,CORE,4,4,4,1,False,CLASSROOM,45,
C048,AR302,Industrial Automation,D04,THEORY,CORE,4,4,4,1,False,CLASSROOM,45,
C049,AR303,Computer Vision,D04,THEORY,CORE,3,3,3,1,False,CLASSROOM,45,
C050,AR304,Robotics Lab II,D04,LAB,CORE,1,2,1,2,True,ROBOTICS_LAB,25,ROBOTICS
C051,AR401,Advanced Robotics,D04,THEORY,CORE,3,3,3,1,False,CLASSROOM,45,
C052,AR402,Autonomous Systems,D04,THEORY,CORE,3,3,3,1,False,CLASSROOM,45,
C053,AR403,Industrial IoT,D04,THEORY,CORE,3,3,3,1,False,CLASSROOM,45,
C054,INT301,Engineering Ethics,D05,THEORY,INTERDISCIPLINARY,2,2,2,1,False,CLASSROOM,40,
C055,INT302,Entrepreneurship and Innovation,D05,THEORY,INTERDISCIPLINARY,2,2,2,1,False,CLASSROOM,40,PROJECTOR
C056,SKL301,Professional Communication,D05,THEORY,SKILL,2,2,2,1,False,CLASSROOM,40,
C057,SKL401,Project Management,D05,THEORY,SKILL,2,2,2,1,False,CLASSROOM,40,
C058,EL401,Artificial Intelligence Applications,D03,THEORY,OAE,3,3,3,1,False,CLASSROOM,25,
C059,EL402,Cloud Computing,D01,THEORY,OAE,3,3,3,1,False,CLASSROOM,25,
C060,EL403,Cyber Security,D01,THEORY,OAE,3,3,3,1,False,CLASSROOM,25,
C061,EL404,Internet of Things,D02,THEORY,OAE,3,3,3,1,False,CLASSROOM,25,
C062,EL405,Computer Vision Applications,D03,THEORY,PCE,3,3,3,1,False,CLASSROOM,25,
C063,EL406,Advanced Cloud Architecture,D01,THEORY,PCE,3,3,3,1,False,CLASSROOM,25,
C064,EL407,Embedded AI,D02,THEORY,PCE,3,3,3,1,False,CLASSROOM,25,
C065,EL408,Autonomous Robotics,D04,THEORY,PCE,3,3,3,1,False,CLASSROOM,25,
